text,label
"Sangat kecewa utk kemunduran jam kbrgktan maskapai ini, sgt buruk, awal pesen tiket 12.45 undur jdi 13.45 undur lagi jam 15.00 dan mundurrrrrrrrrr lagi jam 16.45, Burukkkkk sekaliiii kecewaaaaa berat sama maskapai citilink ini, waktu itu sgtt berhargaaaa, kasian org tua saya 12 jam mnngu di bandara, brgkt udah dri jam 7 pagi, kecewaaaaaaaa.",0
"Cancelled flight, input data whatsapp salah, input data credit card salah, pengembalian dana berbelit, harus minta ke pihak ketiga. Yang salah Citilink, di lempar ke pihak lain dan tidak mau bertanggung jawab. Poor customer service, langsung menutup tlp padahal pembicaraan belum selesai. Really2 hard to talk to manager. Rober, uang 8 juta aja digandolin",0
Tolong di training lagi itu pramugarinya atas nama VIVI LUMBAN Merasa sok cantik tapi pelayanan BURUK ! !,0
"Seumur hidup cmn pernah beli tiket citilink 2x dan 2” nya kecewa bgt. Customer service rude bgt bgt sama skali gak membantu yang ada malah di persulit. Trip kali ini saya pilih citilink hanya karna jam terbang nya paling pas sama jadwal saya ambil lab di salah satu hospital disana jadi bukan karna saya willingly mau naik citilink. Tapi memang jam nya yang paling pas aja. Biasanya saya selalu naik commercial plane yang lain, dan tidak pernah ada masalah. Berhubung ini medical trip, saya ga bisa pastiin kapan saya bisa pulang, karna tergantung dengan hasil lab saya nanti nya. Dan ini menjadi masalah buat pihak citilink. Di bilang saya tdk bs terbang krn tidak ada tiket pulang, saya sdh jelaskan smua, termasuk kasih lihat hasil lab bulan sebelum nya (fyi saya rutin setiap bulan ke kuala lumpur) beserta medical bill. Tapi tetap tidak di bolehkan. Lalu alhir nya mereka bilang “kali ini kami loloskan” tapi gak sampai semenit kemudian, teman nya si cust service yang ngmg sama saya ini dtg, dan blg “gak bisa. Pintu pesawat sdh d tutup” lalu saya blg yasudah pindahkan saya ke flight selanjutnya saja. Dan di blg tidak bisa. Lalu saya tanya lagi apa saya bisa refund? Di blg tidak bisa. ???? Ketika saya tanya “dimana sih saya bs liat informasi ini? Darimana saya tau kalau saya harus ada tiket pulang?” Di jawab sama dia “ya harus nya cek sndiri di web imigrasi” ???????? R u serious? This is not my first time flying. And frankly gue ga pernah cek website imigrasi sm skali krn ga prnh dpt airline begini. Bahkan gue udh blg gw willing buat bayar fine di imigrasi waktu sampai disana klo emg gue gabole masuk di negara mereka. Dan ini cm salah 1 pengalaman gw sm citilink. Yang kejadian sebelum ini, lebih parah lagi. Gue sampe harus beli tiket 3x dan smua tidak bs d refund. Pdhl bkn salah gue. Buat kalian yang mau traveling mending gausa pake citilink deh. Worst airline service ever",0
"Jelek banget pelayanannya, sangat sangat kecewa dengan kelakuan kru nya, mulai dari kru check in counter yg saya ucapkan twrima kasih dan dia diam saja. Di tengah perjalanan ke gate hand carry saya di blg tidak boleh, padahal di depan blg boleh. Sampe di foto segala dan akhirnya boleh. Di gate masuk pesawat di komplen lagi? Dan hebatnya semua yg melayani TIDAK ADA KATA MAAF YG SOPAN DAN BLG TERIMA KASIH, INIKAH PELAYANAN CITY LINK? YG KATANYA BAGUS HOSPITALITY NYA?",0
"Saya sudah 4 kali naik citilink dan hampir semuanya delay, yang paling terakhir ini yang paling kacau, pemberitahuan 2 kali keterlambatan (delay).  Selah delay 2 kali tersebut, saya datang check ke ruang tunggu, katanya delay setengah jam.  Setelah delay 30 mnt tersebut, ada anouncement keberangkatan pesawat citilink saya, dan ternyata anouncementnya palsu, alias pesawatnya belum mendarat 🤦🤦🤦. Worst experience",0
"Penerbangan kami harusnya pukul 10.25 pada 17 juni 2022. Namun, penerbangan kami didelay oleh citilink sehari sebelum keberangkatan pukul 7 malam. Yang harusnya berangkat jam 10.25 kami berangkat 3 jam kemudian. Setelah tiba di bandara, penerbangan kami kembali di delay 1 jam 30 menit, jadi kami berangkat pukul 14.30. Sebelumnya kami protes kepada pekerja, karena dengan demikian kami mngkin sangat kepepet untuk naik pesawat selanjutnya di jakarta tujuan jerman. Dan delay ini, hanya ada di penerbangan citilink. Sementara penerbangan lainnya tidak.  Untuk itu, sangat tidak direkomendasikan penerbangan tidak dengan citilink.",0
"Saya udah boarding 5.30, Dan 15 menit sebelum take off udah ga boleh masuk dengan alasan yang ga jelas, Dan customer servicenya juga ga ngasih penjelasan, sangat MENGECEWAKAN !!!",0
"Psw sy di cancel oleh Citilink, coba hub customer service gak ada yg angkat, chat gak bisa, email gak di balas, lalu uang refund gak di anggap.. Payah Citilink.. hrsnya lebih tanggung jawab... :((:(((",0
"jelas2 pesawat delay, tp tulisnya sesuai jadwal, udah sering terbang sama citilink hampir selalu delay atau terlambat. mengecewakan.",0
